lat,lon,n_obs,long_adress,isAirport
-22.910502390485295,-43.163099405982315,1,"Rio de Janeiro Airport RJ Santos Dumont (SDU) - Praça Sen. Salgado Filho, s/n - Centro, Rio de Janeiro - RJ, 20021-340, Brazil",TRUE
-22.809999863641398,-43.25055568383109,1,"Av. Vinte de Janeiro, 2413-2437 - Galeão, Rio de Janeiro - RJ, 21941-570, Brazil",TRUE
-22.479901689132674,17.470898379292773,1,"Unnamed Road, Namibia",TRUE
-20.46869950708651,-54.6724979776538,1,"Campo Grande International Airport (CGR) - Av. Duque de Caxias, s/n - Vila Serradinho, Campo Grande - MS, 79101-901, Brazil",TRUE
-20.43020247283167,57.68360318545047,1,"A 10, Mauritius",TRUE
-20.258057303284616,-40.28638717861153,1,"Eurico de Aguiar Salles Airport (VIX) - Av. Roza Helena Schorling Albuquerque, S/N - Aeroporto, Vitória - ES, 29075-685, Brazil",TRUE
-19.62444046638329,-43.97194392536849,1,"Unnamed Road, Confins - MG, 33500-000, Brazil",TRUE
-18.79690033414199,47.478800865402114,1,"N52, Antananarivo, Madagascar",TRUE
-18.053298518887352,-70.27580031667199,1,"SANTA ROSA CARLOS AIRPORT Ciriani, Tacna 23004, Peru",TRUE
-17.931802818429862,31.092798071189556,1,"Robert Gabriel Mugabe Airport (HRE), Harare, Zimbabwe",TRUE
-17.755400572464985,177.44299515184323,1,"Unnamed Road, Nadi, Fiji",TRUE
-17.644802529270883,-63.135399738523375,1,"Unnamed Road, Bolivia",TRUE
-17.55370223984508,-149.60699232058042,1,"Fa'a'ā International Airport, Faaa, French Polynesia",TRUE
-16.88579960848313,145.75500279349384,1,"Bush Pilots Ave, Aeroglen QLD 4870, Australia",TRUE
-16.63200222355198,-49.220701424580895,1,"Goiânia Airport (GYN) - Alameda 4, s/n - Santa Genoveva, Goiânia - GO, Brazil",TRUE
-16.513302557134725,-68.19229659045828,1,"Avenida Carrasco, El Alto, Bolivia",TRUE
-16.444398652692293,-151.7510061195379,1,"Bora Bora Airport, French Polynesia",TRUE
-16.43860031980557,-39.08089543681218,1,"Estr. do Aeroporto, s/n, Box 18 Aeroporto Internacional de, Porto Seguro - BA, 45810-000, Brazil",TRUE
-16.34110009180816,-71.58310092908815,1,"Unnamed Road, Cerro Colorado 04017, Peru",TRUE
-15.869166215114802,-47.920832074767596,1,"EPAR - Lago Sul, Brasília - DF, 70297-400, Brazil",TRUE
-15.652897565764722,-56.11670112563851,1,"International Airport of Várzea Grand MT Marechal Rondon (CGB) - Av. João Ponce de Arruda, s/n - Jardim Aeroporto, Várzea Grande - MT, 78110-900, Brazil",TRUE
-15.467098811959696,-70.15820072922139,1,"Inca Manco Capac International Airport, Juliaca, Peru",TRUE
-15.330797882076025,28.45260282164877,1,"Baobab Street, Lusaka, Zambia",TRUE
-13.53569819161935,-71.93879885788331,1,"Via Expresa 1700, Cusco 08006, Peru",TRUE
-12.908613073582519,-38.32249985128726,1,"R. Eng. José Afonso Teixeira, Salvador - BA, Brazil",TRUE
-12.613597104869658,-69.22859962493344,1,"Unnamed Road, Puerto Maldonado, Peru",TRUE
-12.1607026157085,-76.99889854389298,1,"Las Alondras 105, Santiago de Surco 15054, Peru",FALSE
-9.510807190696148,-35.791699433570805,1,"Zumbi dos Palmares Int'l Airport - Rodovia BR, 104 Km 91 - Tabuleiro do Pinto, Rio Largo - AL, 57100-971, Brazil",TRUE
-8.858368690224777,13.231199771397074,1,"Unnamed Road, Luanda, Angola",TRUE
-8.748171717487267,115.16699772854838,1,"Ngurah Rai International Airport (DPS), Jalan Raya Gusti Ngurah Rai, Tuban, Kuta, Kabupatén Badung, Bali 80362, Indonesia",TRUE
-8.377937849429632,-74.57430158308196,1,"Av. Diagonal Nte, Pucallpa 25004, Peru",TRUE
-8.126489591458517,-34.92359961901219,1,"Recife International Airport (REC) - Praça Min. Salgado Filho, s/n - Imbiribeira, Recife - PE, 51210-902, Brazil",TRUE
-8.081409272137627,-79.10880416530632,1,"Jr Libertad, Huanchaco 13000, Peru",TRUE
-7.379828181577883,112.78699980251038,1,"Juanda International Airport (SUB), Jl. Ir. H. Juanda, Betro, Kec. Sedati, Kabupaten Sidoarjo, Jawa Timur 61253, Indonesia",TRUE
-7.145832218046456,-34.9486149563476,1,"Presidente Castro Pinto International Airport - Av. Mal. Rondon, s/n - Aeroporto, Bayeux - PB, 58308-901, Brazil",TRUE
-7.139180178044986,-78.48940241130221,1,"Mayor General FAP Armando Revoredo Iglesias Airport, Av Hoyos Rubio 1804, Cajamarca 06001, Peru",TRUE
-6.878111958693627,39.20259740207592,1,"Unnamed Road, Dar es Salaam, Tanzania",TRUE
